state,metric,n,normality,heteroscedasticity,summary
closed,AP MAD,184,Not normal,No,Non-normal
closed,AP Max abs dev,184,Not normal,Yes,Both violated
closed,AP MedAD,184,Not normal,No,Non-normal
closed,AP RMS,184,Not normal,Yes,Both violated
closed,AP Range,184,Not normal,Yes,Both violated
closed,AP STD,184,Not normal,Yes,Both violated
closed,AP Variance,184,Not normal,Yes,Both violated
closed,Ellipse area,184,Not normal,Yes,Both violated
closed,ML MAD,184,Normal,No,Assumptions met
closed,ML Max abs dev,184,Not normal,Yes,Both violated
closed,ML MedAD,184,Normal,No,Assumptions met
closed,ML RMS,184,Not normal,Yes,Both violated
closed,ML Range,184,Not normal,Yes,Both violated
closed,ML STD,184,Not normal,Yes,Both violated
closed,ML Variance,184,Not normal,Yes,Both violated
closed,Path length,184,Not normal,Yes,Both violated
closed,Range Ratio,184,Not normal,No,Non-normal
closed,Sway RMS,184,Not normal,Yes,Both violated
open,AP MAD,189,Not normal,No,Non-normal
open,AP Max abs dev,189,Not normal,Yes,Both violated
open,AP MedAD,189,Not normal,No,Non-normal
open,AP RMS,189,Not normal,Yes,Both violated
open,AP Range,189,Not normal,Yes,Both violated
open,AP STD,189,Not normal,Yes,Both violated
open,AP Variance,189,Not normal,Yes,Both violated
open,Ellipse area,189,Not normal,Yes,Both violated
open,ML MAD,189,Not normal,Yes,Both violated
open,ML Max abs dev,189,Not normal,Yes,Both violated
open,ML MedAD,189,Not normal,Yes,Both violated
open,ML RMS,189,Not normal,Yes,Both violated
open,ML Range,189,Not normal,Yes,Both violated
open,ML STD,189,Not normal,Yes,Both violated
open,ML Variance,189,Not normal,Yes,Both violated
open,Path length,189,Not normal,Yes,Both violated
open,Range Ratio,189,Not normal,Yes,Both violated
open,Sway RMS,189,Not normal,Yes,Both violated
